employee_id,age,experience_years,role,work_hours_per_day,days_worked_per_week,overtime_hours,lunch_break_minutes,coffee_breaks_per_day,punctuality_score,attendance_rate,late_arrivals,biometric_match_score,emails_sent,emails_received,email_response_time,after_hours_emails,meetings_per_week,meeting_hours,meeting_acceptance_rate,declined_meetings,focus_time_hours,messages_sent,messages_received,after_hours_messages,response_time_minutes,reactions_given,status_available_percentage,status_busy_percentage,status_away_percentage,commits_per_week,prs_created,prs_reviewed,code_review_time_hours,pr_merge_rate,avg_pr_size_lines,github_pr_merge_time,tasks_assigned,tasks_completed_per_week,task_completion_rate,overdue_tasks,avg_task_completion_time,hours_logged,projects_active,context_switches_per_day,bugs_reported,bugs_fixed,document_edits,shared_files,work_pattern_consistency,after_hours_activity_ratio,communication_balance,meeting_to_work_ratio,code_commit_consistency,task_velocity,collaboration_score,peer_interaction_frequency,message_after_hours_ratio,email_after_hours_ratio,weekend_work_hours,daily_active_hours,work_life_balance_score,days_off_taken,sick_days,tools_used,tool_switch_frequency,training_hours,documentation_contributions,team_size,one_on_ones_conducted,deliverables_completed,quality_score,average_email_length,average_message_length,sentiment_email_score,sentiment_chat_score,voluntary_contributions,initiative_score,unique_contacts_per_week,cross_team_interactions,code_review_comments_received,refactoring_commits,blocked_time_hours,dependency_wait_time_hours,new_ideas_proposed,experiments_run,avg_first_response_time_hours,response_rate,meeting_preparation_score,meeting_participation_score,interruptions_per_day,deep_work_blocks,concurrent_tasks,task_switching_rate,urgent_tasks_percentage,tasks_completed_early,mentor_hours_per_week,knowledge_base_contributions,process_compliance_score,documentation_quality_score,morning_productivity_score,afternoon_productivity_score,informal_chats_per_week,team_engagement_score,self_directed_work_percentage,decision_making_authority_score,feedback_received_count,feedback_given_count,new_technologies_learned,skill_utilization_score,burnout_risk_score,wellbeing_score,efficiency_score
EMP011,32,4,Manager,10.06,5,6.85,30,0,80.46,96.13,1,87.98,8,54,19.01,1,2,2.2,76.81,0,9.12,39,63,12,4.08,14,65.38,22.26,12.36,0,0,2,1.0,0.0,0,0.0,1,0,0.0,0,20.39,40.96,3,13.75,4,5,8,4,77.46,0.2708,4.33,0.2191,0.0,0.0,6.67,11.0,0.3,0.1111,1.96,11.43,72.57,0,1,5,54.52,0.36,0,0,0,0.0,70.65,90.02,28.46,65.5,41.01,3,40.83,13,2,0,0,0.68,0.2,0,2,9.11,71.67,86.87,81.03,2,4,2,1.3672,26.84,0,0.28,1,89.55,62.18,93.98,70.43,2,57.75,69.28,70.09,1,0,0,89.62,0.3957,66.27,7.57
EMP012,35,5,Tech Lead,7.86,5,0.25,60,3,91.06,62.55,0,90.38,6,22,21.57,1,4,3.38,78.99,0,6.18,31,59,4,5.71,20,77.57,22.49,-0.06,13,1,4,2.82,85.48,459,10.76,3,3,100.0,0,6.19,37.15,1,4.54,1,1,4,2,48.02,0.1316,4.43,0.4305,0.74,0.0763,8.67,11.0,0.125,0.1429,0.0,7.91,100.0,2,0,6,62.69,0.71,1,0,0,3.5,65.63,190.05,40.03,59.93,82.15,1,60.59,4,1,3,2,0.11,0.54,1,0,7.9,50.81,78.72,63.93,4,3,3,0.5776,13.53,1,0.12,1,86.92,77.72,49.84,45.95,4,68.99,42.22,55.75,2,1,0,57.5,0.2018,79.28,69.38
EMP013,25,3,Developer,7.69,6,7.27,60,1,78.4,85.48,2,96.11,5,14,23.75,1,2,1.92,70.06,0,6.37,21,50,3,6.75,17,60.23,28.22,11.56,12,1,5,3.33,68.08,129,32.15,3,2,66.67,0,12.88,43.34,1,2.9,1,1,6,4,87.01,0.1481,3.5,0.2498,1.0,0.0433,8.67,7.17,0.1364,0.1667,3.94,8.9,92.79,0,0,6,65.94,0.06,0,8,8,2.5,79.85,179.36,27.22,86.64,54.05,2,36.18,6,2,5,2,0.04,1.33,0,0,7.56,87.63,38.4,83.98,2,3,1,0.3771,13.24,0,0.0,1,55.53,76.07,73.25,62.78,4,74.98,32.98,70.32,1,0,0,64.48,0.198,78.21,60.54
EMP014,38,10,Senior Developer,10.19,5,6.16,30,1,80.74,99.09,1,90.79,35,21,19.98,8,3,2.71,58.99,1,9.15,31,52,6,32.98,6,81.14,10.25,8.62,10,3,5,2.49,65.24,138,20.47,3,1,33.33,0,30.0,47.5,2,4.63,2,2,5,0,78.03,0.209,0.86,0.266,0.75,0.0196,3.67,8.4,0.1875,0.2222,2.15,11.42,72.6,0,0,7,73.18,0.05,1,0,0,2.5,45.42,111.73,43.54,39.27,86.59,1,65.75,7,2,11,2,0.31,0.57,2,0,10.78,89.49,54.87,72.85,3,4,2,0.4544,24.74,0,0.25,0,80.42,93.37,42.68,77.53,1,81.12,31.53,44.08,1,4,1,90.61,0.4354,79.15,45.96
EMP015,40,8,Senior Developer,7.35,5,0.12,45,2,68.0,84.16,3,94.89,12,10,5.05,3,6,4.76,85.75,0,5.65,32,39,4,24.6,8,76.59,13.76,9.66,11,1,4,4.26,33.06,151,1.84,2,2,100.0,0,30.0,36.33,1,3.21,0,0,8,4,66.35,0.1556,2.46,0.6471,0.95,0.0544,5.33,8.8,0.1212,0.2308,0.0,7.37,100.0,0,2,5,71.82,0.56,0,0,0,2.5,89.84,268.88,17.31,66.73,65.88,1,36.14,3,0,6,1,1.02,1.56,2,0,2.31,86.43,62.24,75.23,2,2,3,0.4365,38.47,0,0.4,0,68.77,69.51,64.7,37.81,2,61.4,58.53,58.33,2,1,0,78.83,0.2591,77.39,66.46
EMP016,28,4,Developer,11.39,6,4.71,45,3,84.21,87.57,1,96.33,9,34,9.06,1,1,1.42,73.44,0,10.0,28,38,2,3.21,5,83.53,20.59,-4.12,23,4,2,2.54,98.44,417,6.29,1,0,0.0,0,12.18,74.09,1,4.85,4,3,7,2,59.71,0.0789,2.8,0.1245,0.66,0.0,3.0,5.83,0.069,0.1,0.0,12.17,66.6,0,0,4,45.62,0.55,0,0,0,2.0,83.84,139.26,47.05,83.72,78.59,0,64.18,6,2,31,2,0.72,0.23,3,1,4.76,88.16,66.13,58.47,2,5,2,0.4262,27.4,0,0.43,0,83.88,88.21,51.37,82.97,3,86.1,37.58,44.8,0,0,1,81.99,0.2954,83.85,53.09
EMP017,42,5,Manager,7.12,5,13.96,60,1,83.22,86.96,1,87.17,9,58,8.14,1,0,0.0,79.04,0,6.12,37,81,10,2.21,12,53.44,26.07,20.49,0,0,0,0.0,0.0,0,0.0,3,3,100.0,0,12.71,34.4,1,2.36,3,2,3,2,64.91,0.234,3.7,0.0,0.0,0.0843,4.67,9.8,0.2632,0.1,7.5,9.91,84.69,0,0,5,60.31,0.38,1,0,0,3.0,72.96,288.12,19.07,66.68,81.75,4,47.58,1,0,0,0,0.28,0.76,1,0,2.71,95.31,60.54,71.27,6,3,2,0.3309,38.24,1,0.0,0,79.46,41.09,38.15,64.59,3,53.38,65.19,74.25,1,0,0,83.51,0.1634,70.47,12.15
EMP018,28,1,Developer,6.66,5,4.79,45,3,92.16,93.55,0,88.75,32,22,42.72,3,9,5.32,84.36,1,4.85,18,27,2,3.7,6,75.65,22.13,2.22,5,1,3,3.86,73.63,214,15.03,2,2,100.0,0,16.89,30.49,1,3.11,4,2,3,8,54.05,0.098,0.55,0.7989,0.72,0.06,5.67,5.4,0.1053,0.0909,0.0,7.62,100.0,0,0,5,71.36,0.06,1,0,0,2.5,81.91,96.41,36.57,67.06,74.53,1,68.08,1,0,7,0,0.25,0.23,1,1,27.13,77.51,76.58,63.33,1,2,3,0.4661,25.45,0,0.0,0,68.8,84.93,70.65,45.87,8,31.48,73.53,56.13,0,1,0,57.57,0.2485,61.75,57.86
EMP019,25,1,Designer,8.81,5,2.04,60,1,81.49,97.24,1,86.85,31,48,48.0,4,3,3.44,89.78,0,7.12,20,28,5,8.62,11,65.77,20.27,13.97,0,0,2,1.0,0.0,0,0.0,8,9,100.0,0,9.72,43.69,2,8.24,2,1,4,5,81.68,0.1731,0.62,0.3908,0.0,0.2043,6.0,6.6,0.2381,0.125,0.0,9.22,90.24,0,0,5,52.4,0.37,0,0,0,9.0,89.81,136.74,25.63,72.31,49.54,1,47.78,0,0,0,0,1.01,2.51,1,0,23.05,69.24,36.42,90.22,2,3,1,0.9351,33.3,4,0.0,0,65.07,72.8,31.66,53.62,0,51.71,65.34,50.98,1,2,1,41.86,0.0978,75.82,1.67
EMP020,40,11,Tech Lead,8.3,5,10.79,45,3,90.71,61.61,0,91.69,5,40,12.24,0,4,4.58,82.58,0,6.63,19,33,2,8.11,7,83.21,11.21,5.58,5,1,2,2.25,66.98,102,19.06,5,2,40.0,1,18.84,40.7,1,2.69,3,3,2,6,78.5,0.08,3.17,0.5516,0.84,0.0482,5.0,5.6,0.1,0.0,4.83,10.45,80.36,2,0,5,44.8,0.55,1,0,0,2.5,90.33,63.81,47.7,48.79,42.55,0,49.5,10,4,3,1,0.75,0.71,1,0,6.01,91.72,44.13,84.38,1,3,2,0.3245,26.42,1,0.33,0,81.44,50.63,36.22,61.19,3,71.92,55.51,36.85,3,0,1,52.42,0.562,76.34,48.08
EMP021,38,14,Developer,9.96,5,0.44,45,3,72.25,74.63,2,88.62,15,35,10.88,2,1,0.99,82.74,0,9.01,6,8,1,1.0,1,70.89,29.99,-0.88,5,1,8,4.36,76.97,2000,7.73,2,2,100.0,0,15.93,39.6,1,4.17,0,0,3,1,71.12,0.1364,0.38,0.099,0.69,0.0402,3.33,3.0,0.1429,0.125,0.0,10.05,83.61,1,1,3,15.57,0.88,2,0,0,2.5,81.03,116.37,34.46,59.1,76.08,1,50.89,13,3,2,0,0.15,2.61,0,0,7.3,91.29,84.57,52.43,0,4,3,0.419,32.71,0,0.0,0,96.42,47.69,75.9,40.46,9,89.18,35.83,66.73,3,2,0,65.59,0.3728,84.07,67.46
EMP022,25,2,Designer,9.02,5,3.74,45,1,88.11,99.75,1,92.59,6,32,9.95,1,4,2.63,87.56,0,7.75,41,58,5,5.82,15,76.67,25.63,-2.3,0,0,0,0.0,0.0,0,0.0,2,1,50.0,0,19.26,37.2,1,3.96,4,2,13,2,47.98,0.125,5.86,0.2919,0.0,0.0222,5.67,11.2,0.119,0.1429,0.0,9.77,85.84,0,0,5,69.96,1.64,1,0,0,1.0,59.59,189.08,11.17,87.07,75.68,1,47.35,1,0,0,0,0.0,0.79,1,0,5.16,82.38,52.75,80.22,4,3,2,0.4392,13.97,0,0.0,1,97.6,47.85,23.65,25.64,7,60.34,77.41,57.44,0,1,0,46.71,0.368,68.43,17.15
EMP023,42,15,Senior Developer,10.06,5,0.47,45,1,90.28,96.52,0,89.81,9,35,18.46,1,5,3.54,87.55,0,8.6,44,76,5,10.87,20,61.81,26.06,12.13,6,1,0,0.0,60.84,126,8.29,1,0,0.0,0,9.16,35.91,4,8.36,2,1,5,2,88.01,0.1111,4.4,0.3522,0.85,0.0,7.33,12.8,0.1111,0.1,0.0,10.15,82.77,1,0,3,27.89,0.16,0,0,0,0.5,97.36,173.06,17.8,60.83,74.95,1,37.98,4,1,3,1,0.12,1.61,1,0,8.58,76.92,34.08,34.59,4,4,3,0.831,27.76,0,0.01,0,70.92,86.75,88.8,59.21,4,67.56,36.37,63.96,1,2,0,92.17,0.4437,78.61,42.03
EMP024,35,2,Tech Lead,6.83,5,8.15,30,1,59.07,97.27,4,90.84,16,14,30.26,3,5,6.0,72.32,1,5.13,49,70,5,4.67,19,79.75,13.92,6.33,2,1,3,2.85,58.67,878,17.87,5,4,80.0,0,9.15,32.3,3,13.29,3,2,1,3,93.63,0.1212,2.88,0.8785,0.76,0.1171,8.33,14.2,0.1,0.1765,4.09,8.46,96.29,0,0,7,52.56,0.06,2,0,0,4.5,95.25,299.44,28.07,80.1,45.3,1,32.35,7,2,5,0,0.26,0.48,0,1,9.79,66.95,58.36,78.09,3,2,1,1.9448,22.98,1,0.0,0,76.42,50.93,56.19,43.25,2,86.15,62.2,50.52,1,1,1,46.68,0.3401,85.84,59.6
EMP025,42,16,Designer,9.82,5,2.08,30,2,78.48,99.67,2,87.07,20,38,3.82,5,2,1.01,38.35,1,9.12,22,48,6,5.35,17,68.37,19.02,12.6,0,0,0,0.0,0.0,0,0.0,1,1,100.0,0,30.0,50.02,3,12.13,1,1,9,0,89.51,0.2558,1.05,0.1033,0.0,0.0204,5.67,7.8,0.2609,0.2381,0.0,10.24,82.11,0,0,7,37.9,1.72,2,0,0,1.0,61.86,133.0,41.27,89.8,88.01,3,32.38,2,0,0,0,1.1,1.21,1,1,1.24,81.79,42.82,59.19,3,4,2,1.2345,38.16,0,0.08,1,79.44,84.86,83.38,34.15,1,71.86,45.93,58.85,0,1,0,77.67,0.3734,82.16,0.11
EMP026,32,3,Manager,6.66,5,1.64,30,1,94.48,98.28,0,97.06,18,18,9.94,2,4,3.55,66.11,1,5.45,40,82,12,1.07,29,78.56,10.38,11.06,0,0,2,1.0,0.0,0,0.0,3,2,66.67,0,13.18,25.14,1,4.71,0,0,1,2,82.55,0.2373,2.11,0.5331,0.0,0.0601,11.0,14.2,0.2927,0.1053,0.0,6.99,100.0,0,0,3,20.47,1.68,1,3,3,2.0,78.24,209.02,25.93,71.07,65.48,0,48.5,4,0,0,0,0.46,1.74,2,1,6.61,81.76,64.54,65.33,4,2,4,0.7073,36.14,0,0.0,3,86.71,76.48,56.29,19.32,2,79.81,45.32,55.38,0,3,1,63.49,0.1897,88.72,0.0
EMP027,30,2,Senior Developer,8.52,5,6.38,60,1,76.78,90.54,2,87.84,17,48,24.2,3,2,2.19,79.72,0,7.08,12,28,3,4.91,9,55.87,12.41,31.72,8,1,2,1.83,92.42,80,5.14,2,1,50.0,0,30.0,44.49,3,6.09,5,3,5,2,41.82,0.2,0.67,0.2573,0.69,0.0235,4.33,4.6,0.2308,0.1667,3.37,9.8,85.64,0,1,5,37.06,0.13,0,0,0,1.5,56.53,268.98,46.21,44.44,71.03,0,41.22,7,1,7,1,0.98,0.73,1,0,14.71,88.8,93.06,71.5,1,3,2,0.7148,14.67,0,0.0,0,92.44,61.15,55.18,28.31,7,54.95,37.43,43.76,0,0,0,58.93,0.38,72.18,48.63
EMP028,35,2,Senior Developer,9.14,5,10.17,45,1,79.74,96.6,2,92.91,27,11,14.91,4,6,3.67,52.14,2,7.66,40,62,4,10.69,11,70.98,14.03,15.0,11,3,3,2.98,81.29,20,35.26,3,2,66.67,0,4.63,39.87,1,4.18,5,5,7,1,69.14,0.1176,1.43,0.4014,0.85,0.0438,5.0,10.8,0.0976,0.1429,3.99,11.17,74.6,1,0,5,49.23,0.01,1,0,0,3.5,44.05,290.53,31.43,57.68,90.28,0,17.5,4,1,22,2,0.34,1.6,0,0,7.95,72.77,31.37,68.28,4,3,3,0.4568,37.86,0,0.0,0,76.41,62.05,61.86,52.19,3,72.84,42.44,44.65,1,1,0,64.02,0.2887,74.79,52.43
EMP029,42,6,Developer,6.01,6,0.06,45,2,49.15,94.6,5,86.09,8,20,13.39,0,2,1.11,86.31,0,5.07,22,42,5,6.77,8,61.04,12.13,26.82,4,1,2,2.68,81.6,28,1.0,2,2,100.0,0,30.0,32.23,3,11.49,2,2,8,15,66.61,0.1613,2.44,0.184,0.87,0.0555,8.33,5.33,0.2174,0.0,0.0,6.02,100.0,1,0,5,63.32,0.26,3,0,0,2.5,81.91,219.1,22.04,81.01,62.05,0,50.99,3,1,6,1,0.05,1.22,1,1,9.03,54.07,83.37,77.0,1,2,1,1.9134,19.13,1,0.31,2,54.9,82.73,81.3,74.41,1,57.75,50.97,40.17,2,2,0,53.43,0.0,73.93,66.91
EMP030,35,4,Manager,9.45,6,2.13,30,0,87.26,85.21,1,89.52,13,5,4.85,2,5,7.37,86.76,0,7.72,8,14,1,4.47,2,74.7,20.43,4.87,0,0,0,0.0,0.0,0,0.0,4,2,50.0,0,21.42,40.13,1,3.24,2,2,6,0,80.25,0.1364,0.57,0.7796,0.0,0.0353,0.67,1.67,0.1111,0.1429,0.0,9.8,85.56,1,1,5,69.52,0.15,1,12,12,2.0,72.97,148.07,27.9,41.66,83.0,2,46.83,5,2,0,0,0.12,0.76,1,1,1.56,82.83,40.49,65.51,0,3,3,0.3432,15.63,1,0.08,0,80.3,72.23,82.99,40.08,1,43.05,46.15,64.72,0,0,0,58.91,0.3532,73.27,5.84
EMP031,25,3,Senior Developer,11.01,6,1.21,45,2,67.41,83.86,3,88.06,12,51,7.74,2,1,0.63,84.09,0,10.0,16,27,5,14.93,10,78.0,14.83,7.16,7,1,2,2.66,66.41,105,5.64,4,3,75.0,0,15.26,54.29,3,8.65,4,4,8,2,44.39,0.2414,1.23,0.0568,0.83,0.0454,4.67,4.67,0.2941,0.1538,0.0,11.21,74.29,1,0,5,27.56,0.13,1,0,0,3.5,60.7,83.32,47.11,62.48,64.62,3,42.44,0,0,6,1,0.09,0.67,0,1,3.77,90.91,45.75,62.78,1,5,2,0.7851,35.05,1,0.0,0,54.05,69.15,64.47,50.1,2,68.22,51.34,73.79,1,2,0,57.81,0.4253,71.57,61.72
EMP032,40,1,Developer,8.05,5,3.58,60,3,87.14,93.12,1,91.47,15,14,6.38,0,4,4.53,71.12,1,6.15,43,100,6,13.12,21,54.37,20.51,25.12,7,1,3,3.92,77.17,123,16.24,1,1,100.0,0,16.73,33.7,1,3.81,2,2,2,2,86.94,0.1017,2.69,0.5624,0.98,0.0248,8.67,13.4,0.1364,0.0,0.0,8.77,93.87,0,1,4,44.85,0.02,1,8,8,1.5,86.12,113.34,45.8,47.54,65.77,1,58.58,1,0,3,1,0.32,2.32,1,0,3.07,65.78,85.78,60.27,4,3,2,0.4729,20.25,0,0.0,0,83.42,81.57,64.54,16.18,3,30.52,30.19,68.21,1,1,3,72.79,0.4463,65.58,59.09
EMP033,32,8,Senior Developer,8.03,6,4.82,30,1,74.46,94.4,2,99.23,5,21,23.7,0,4,3.99,46.16,2,6.86,22,36,5,6.07,9,84.87,19.49,-4.36,5,1,4,3.17,95.42,562,5.61,5,5,100.0,0,6.84,52.2,3,13.77,2,1,5,0,70.36,0.1786,3.67,0.4967,0.89,0.1038,4.33,5.83,0.2174,0.0,0.0,8.83,93.36,0,1,4,29.47,0.49,1,0,0,5.5,83.93,101.06,35.07,81.48,47.8,1,41.22,4,1,5,1,0.07,0.5,0,1,8.67,78.35,80.09,86.57,2,3,2,1.7161,28.43,2,0.02,0,70.91,81.31,64.73,35.97,4,56.27,48.44,57.76,1,3,2,79.31,0.3174,73.18,69.47
